"YEAR","VOTE","PARTY","PERSON","DURATION","WAR","GROWTH","INFLATION","GOODNEWS"
1880,50.22,-1,0,1.75,0,3.879,1.974,9
1884,49.846,-1,0,2,0,1.589,1.055,2
1888,50.414,1,1,0,0,-5.553,0.604,3
1892,48.268,-1,1,0,0,2.763,2.274,7
1896,47.76,1,0,0,0,-10.024,3.41,6
1900,53.171,-1,1,0,0,-1.425,2.548,7
1904,60.006,-1,0,1,0,-2.421,1.442,5
1908,54.483,-1,0,1.25,0,-6.281,1.879,8
1912,54.708,-1,1,1.5,0,4.164,2.172,8
1916,51.682,1,1,0,0,2.229,4.252,3
1920,36.119,1,0,1,1,-11.463,0,0
1924,58.244,-1,1,0,0,-3.872,5.161,10
1928,58.82,-1,0,1,0,4.623,0.183,7
1932,40.841,-1,1,1.25,0,-14.499,7.2,4
1936,62.458,1,1,0,0,11.765,2.497,9
1940,54.999,1,1,1,0,3.902,0.081,8
1944,53.774,1,1,1.25,1,4.279,0,0
1948,52.37,1,1,1.5,1,3.579,0,0
1952,44.595,1,0,1.75,0,0.691,2.362,7
1956,57.764,-1,1,0,0,-1.451,1.935,5
1960,49.913,-1,0,1,0,0.377,1.967,5
1964,61.344,1,1,0,0,5.109,1.26,10
1968,49.596,1,0,1,0,5.043,3.139,7
1972,61.789,-1,1,0,0,5.914,4.815,4
1976,48.948,-1,0,1,0,3.751,7.63,5
1980,44.697,1,1,0,0,-3.597,7.831,5
1984,59.17,-1,1,0,0,5.44,5.259,8
1988,53.902,-1,0,1,0,2.178,2.906,4
1992,46.545,-1,1,1.25,0,2.662,3.28,2
1996,54.736,1,1,0,0,3.121,2.062,4
2000,50.265,1,0,1,0,1.219,1.605,8
2004,51.233,-1,1,0,0,2.69,2.325,1
2008,46.6,-1,0,1,0,0.22,2.88,3
