"Site_","x1","x2","x3","x4","x5","x6","x7","y"
1,2,4,4,1.26,1,6,6,180.23
2,3,1.58,40,1.25,1,5,5,182.61
3,16.6,23.78,40,1,1,13,13,164.38
4,7,2.37,168,1,1,7,8,284.55
5,5.3,1.67,42.5,7.79,3,25,25,199.92
6,16.5,8.25,168,1.12,2,19,19,267.38
7,25.89,3,40,0,3,36,36,999.09
8,44.42,159.75,168,0.6,18,48,48,1103.24
9,39.63,50.86,40,27.37,10,77,77,944.21
10,31.92,40.08,168,5.52,6,47,47,931.84
11,97.33,255.08,168,19,6,165,130,2268.06
12,56.63,373.42,168,6.03,4,36,37,1489.5
13,96.67,206.67,168,17.86,14,120,120,1891.7
14,54.58,207.08,168,7.77,6,66,66,1387.82
15,113.88,981,168,24.48,6,166,179,3559.92
16,149.58,233.83,168,31.07,14,185,202,3115.29
17,134.32,145.82,168,25.99,12,192,192,2227.76
18,188.74,937,168,45.44,26,237,237,4804.24
19,110.24,410,168,20.05,12,115,115,2628.32
20,96.83,677.33,168,20.31,10,302,210,1880.84
21,102.33,288.83,168,21.01,14,131,131,3036.63
22,274.92,695.25,168,46.63,58,363,363,5539.98
23,811.08,714.33,168,22.76,17,242,242,3534.49
24,384.5,1473.66,168,7.36,24,540,453,8266.77
25,95,368,168,30.26,9,292,196,1845.89
